"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2767","@web Client app automation","","2026-08-11","passed","2026-08-11","","Clientapp.spec.js","",""
"","9438","@web Client app automation using special locators","","2026-08-11","passed","2026-08-11","","Clientappspecial.spec.js","",""
